3
Frequenzy=868MHz

Azimuth	Elevation	Polarization 1+2
0	-2.8643942258003	2.08368419646801
0	-2.77199300454121	8.96173758343678
0	-2.67959352861138	10.7155342467372
0	-2.58719405268155	10.7114860836717
0	-2.49479457675172	12.2788915285237
0	-2.40239510082189	13.1355933095707
0	-2.30999562489206	12.5720326963993
0	-2.21759440363297	12.7546678060483
0	-2.12519492770314	13.2947011819592
0	-2.03279545177331	14.1145926089287
0	-1.94039597584348	15.1879345351401
0	-1.84799649991364	16.1144865226018
0	-1.75559527865456	16.1525439082213
0	-1.66319580272473	15.6026077063898
0	-1.5707963267949	16.0199207632057
0	-1.47839685086506	16.1528044392531
0	-1.38599737493523	15.4301635374127
0	-1.2935978990054	14.5980419903137
0	-1.20119667774632	13.7906143818134
0	-1.10879720181649	13.5289847807712
0	-1.01639772588665	13.3957271645409
0	-0.923998249956822	12.9148622755705
0	-0.83159877402699	12.6486980733153
0	-0.739197552767906	12.0905598251671
0	-0.646798076838075	11.5230522406261
0	-0.554398600908243	10.7993710603585
0	-0.461999124978411	9.98728782015508
0	-0.369599649048579	8.69159037844045
0	-0.277200173118747	6.81030846180067
0	-0.184798951859664	4.98253737782712
0	-0.0923994759298318	0.785951443117365
0	0	-7.3779469102348
0	0.0923994759298318	-8.18418877878429
0	0.184798951859664	-2.13264248154637
0	0.277198427789495	2.62511509621372
0	0.369599649048579	5.29810280467216
0	0.461999124978411	7.07769638551805
0	0.554398600908243	8.88202748415092
0	0.646798076838075	10.380465378123
0	0.739197552767906	11.7428530649866
0	0.83159877402699	12.885405442479
0	0.923998249956822	13.7402023941217
0	1.01639772588665	14.33924554875
0	1.10879720181649	14.8002354259788
0	1.20119667774632	15.1778325965235
0	1.29359615367615	15.5058266344215
0	1.38599737493523	15.3974195120279
0	1.47839685086506	15.3834298910749
0	1.5707963267949	15.6340589865625
0	1.66319580272473	15.4815308245765
0	1.75559527865456	14.9426688937414
0	1.84799649991364	14.9180614344475
0	1.94039597584348	15.9537712650875
0	2.03279545177331	16.3071424402158
0	2.12519492770314	15.0616754121781
0	2.21759440363297	13.6098799263469
0	2.3099938795628	13.0723300289712
0	2.40239510082189	12.344133182351
0	2.49479457675172	11.3388792662997
0	2.58719405268155	7.81453635882051
0	2.67959352861138	10.2038419511636
0	2.77199300454121	13.1527644975636
0	2.8643942258003	11.9178352306428
0.174532925199433	-2.8643942258003	4.70305583136818
0.174532925199433	-2.77199300454121	8.0246471953289
0.174532925199433	-2.67959352861138	10.6450396620023
0.174532925199433	-2.58719405268155	10.8408583217861
0.174532925199433	-2.49479457675172	11.9680147611786
0.174532925199433	-2.40239510082189	13.0931975026459
0.174532925199433	-2.30999562489206	12.8526057441217
0.174532925199433	-2.21759440363297	12.7813867754215
0.174532925199433	-2.12519492770314	12.9591324052179
0.174532925199433	-2.03279545177331	13.9495241050409
0.174532925199433	-1.94039597584348	15.1962226422807
0.174532925199433	-1.84799649991364	16.1109180133774
0.174532925199433	-1.75559527865456	16.1286084732792
0.174532925199433	-1.66319580272473	15.6435217634341
0.174532925199433	-1.5707963267949	16.1002396488654
0.174532925199433	-1.47839685086506	16.183168298128
